id;day;trial;date;size;errors;time;rate_error;rate_time;degree_ornam;female_accep;neophobia;body_condition;degree_mat_female
M1;1;1;21/05/19;4.155;13;1207;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;1;2;21/05/19;4.155;2;49;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;1;3;21/05/19;4.155;4;79;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;1;4;21/05/19;4.155;4;93;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;1;5;21/05/19;4.155;1;33;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;2;6;22/05/19;4.155;4;52;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;2;7;22/05/19;4.155;1;64;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;2;8;22/05/19;4.155;1;27;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;2;9;22/05/19;4.155;1;22;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;2;10;22/05/19;4.155;8;104;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;3;11;23/05/19;4.155;0;35;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;3;12;23/05/19;4.155;2;56;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;3;13;23/05/19;4.155;2;25;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;3;14;23/05/19;4.155;4;45;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;3;15;23/05/19;4.155;5;113;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;4;16;24/05/19;4.155;1;20;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;4;17;24/05/19;4.155;3;130;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;4;18;24/05/19;4.155;1;17;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;4;19;24/05/19;4.155;1;21;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;4;20;24/05/19;4.155;3;37;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;5;21;25/05/19;4.155;0;13;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;5;22;25/05/19;4.155;1;25;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;5;23;25/05/19;4.155;2;34;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;5;24;25/05/19;4.155;3;13;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M1;5;25;25/05/19;4.155;1;12;-0,1507692;-0,0805619;-0,0562010;Chosen;0,7778000;-0,0306084;-0,0291059
M3;1;1;27/05/19;4175,000;7;215;-0,0984615;-0,0313385;-0,1045646;Rejected;0,6956000;-0,0137911;-0,0341607
